iteration,n_estimators,max_depth,score
1,43,19,0.6083620195065979
1,24,4,0.594162363740677
1,64,14,0.6102983362019506
1,84,5,0.599469305794607
1,37,11,0.6024096385542169
2,48,18,0.6152467010900745
2,45,10,0.6020510613884108
2,63,15,0.6109437751004017
2,68,12,0.6024096385542169
2,39,11,0.6018359150889271
3,50,17,0.6104417670682731
3,60,20,0.6112306368330463
3,44,19,0.6072145725760184
3,57,16,0.6158204245553643
3,44,15,0.6097246127366609
4,56,16,0.6172547332185886
4,63,20,0.6114457831325301
4,55,16,0.6179001721170395
4,51,18,0.6130952380952381
4,50,18,0.6139558232931727
5,57,16,0.6158204245553643
5,54,17,0.6106569133677567
5,60,15,0.6092226047045324
5,50,18,0.6139558232931727
5,55,18,0.6146729776247849
